Time,trustor,trustee,pkts_f,pkts_d,pdr,frds,coi
66,13,2,3,1,0.75,1,1
66,8,4,1,3,0.25,0,0
67,1,13,2,2,0.5,0,0
68,7,13,6,2,0.75,0,0
68,12,6,2,0,1,0,0
68,1,6,3,1,0.75,0,0
69,14,3,1,1,0.5,0,0
70,10,2,4,1,0.8,0,0
70,2,13,1,1,0.5,1,1
71,11,6,3,6,0.333333333,0,0
72,10,14,4,0,1,1,1
72,1,13,3,5,0.375,0,0
73,13,5,2,8,0.2,0,0
73,10,3,4,0,1,0,0
73,1,7,8,0,1,1,0
75,7,4,6,2,0.75,0,0
75,5,12,2,1,0.666666667,1,0
75,14,10,1,0,1,1,1
77,14,3,4,2,0.666666667,0,0
77,7,1,1,0,1,1,0
77,2,11,3,0,1,0,0
78,2,10,3,0,1,0,0
79,6,5,1,1,0.5,1,1
79,12,9,2,8,0.2,0,1
80,2,15,1,2,0.333333333,0,0
81,12,2,4,0,1,0,1
81,8,11,2,0,1,0,1
82,12,9,1,3,0.25,0,1
82,1,9,2,0,1,0,0
83,9,4,4,5,0.444444444,0,1
84,9,11,5,4,0.555555556,0,0
84,14,9,3,2,0.6,0,0
84,5,6,1,5,0.166666667,1,1
86,8,15,10,0,1,0,1
86,5,13,2,1,0.666666667,0,0
86,13,6,10,0,1,0,0
87,5,9,2,1,0.666666667,1,0
88,12,2,1,0,1,0,1
88,8,2,1,1,0.5,1,0
89,8,13,1,1,0.5,0,0
89,2,11,1,4,0.2,0,0
89,14,6,1,0,1,0,1
90,2,6,3,2,0.6,0,0
91,9,3,5,1,0.833333333,0,0
91,14,7,1,0,1,0,1
92,9,13,4,2,0.666666667,0,1
92,5,15,5,3,0.625,0,0
93,12,9,9,0,1,0,1
93,5,8,7,1,0.875,0,0
94,10,11,9,0,1,0,0
95,12,9,7,3,0.7,0,1
95,4,10,2,6,0.25,1,0
96,12,2,4,6,0.4,0,1
96,10,5,3,3,0.5,0,1
96,4,15,6,2,0.75,0,0
98,14,1,1,0,1,0,0
98,9,5,5,1,0.833333333,1,0
98,4,15,1,0,1,0,0
99,9,13,4,2,0.666666667,0,1
100,4,11,3,3,0.5,0,0
100,11,6,3,0,1,0,0
101,13,3,1,2,0.333333333,0,0
101,8,5,6,3,0.666666667,0,0
101,4,10,3,3,0.5,1,0
102,8,14,9,0,1,0,0
103,13,8,9,0,1,0,0
103,5,9,4,0,1,1,0
104,14,5,5,4,0.555555556,0,1
104,6,1,1,2,0.333333333,0,0
105,6,14,1,2,0.333333333,0,1
105,2,12,1,3,0.25,0,1
106,14,7,3,0,1,0,1
106,2,10,1,3,0.25,0,0
107,12,1,1,2,0.333333333,1,0
107,9,11,1,0,1,0,0
108,2,15,1,0,1,0,0
109,11,1,4,2,0.666666667,0,1
109,9,12,2,1,0.666666667,0,1
109,2,8,1,0,1,1,0
111,10,5,5,4,0.555555556,0,1
111,1,11,1,3,0.25,0,1
111,13,9,5,1,0.833333333,0,1
112,1,10,4,0,1,1,0
113,15,2,7,1,0.875,0,0
113,7,13,1,2,0.333333333,0,0
114,3,14,4,1,0.8,0,0
115,11,3,1,4,0.2,1,1
115,7,15,6,3,0.666666667,0,0
116,7,4,8,1,0.888888889,0,0
116,2,12,1,1,0.5,0,1
117,12,6,4,2,0.666666667,0,0
117,2,10,1,1,0.5,0,0
118,11,5,3,3,0.5,0,0
118,6,2,1,3,0.25,0,0
119,5,14,5,5,0.5,0,1
120,10,2,4,3,0.571428571,0,0
120,13,9,4,4,0.5,0,1
120,5,9,3,7,0.3,1,0
122,10,11,3,2,0.6,0,0
122,12,7,1,0,1,0,0
122,2,8,7,0,1,1,0
123,10,5,1,4,0.2,0,1
124,5,11,1,4,0.2,0,0
124,11,7,1,0,1,0,0
125,12,1,1,0,1,1,0
125,10,3,1,0,1,0,0
126,3,14,10,0,1,0,0
127,7,2,1,0,1,0,0
127,12,9,6,4,0.6,0,1
127,3,10,4,6,0.4,0,0
128,7,14,1,0,1,0,1
129,14,8,1,1,0.5,0,0
129,4,8,1,7,0.125,0,0
130,11,3,2,0,1,1,1
130,10,2,2,7,0.222222222,0,0
131,4,14,1,0,1,1,0
131,10,14,7,2,0.777777778,1,1
132,11,5,1,5,0.166666667,0,0
132,4,8,1,0,1,0,0
133,10,5,1,0,1,0,1
133,14,6,5,1,0.833333333,0,1
134,5,12,4,0,1,1,0
134,10,15,1,0,1,0,0
135,15,8,5,5,0.5,0,1
136,10,1,8,0,1,1,0
136,1,10,1,0,1,1,0
137,1,14,1,0,1,0,0
137,11,6,6,2,0.75,0,0
138,8,1,1,2,0.333333333,0,1
139,1,15,1,2,0.333333333,0,1
139,8,14,1,2,0.333333333,0,0
139,13,9,1,0,1,0,1
140,14,4,1,0,1,1,0
141,8,4,5,1,0.833333333,0,0
141,3,7,7,0,1,0,0
142,3,12,6,1,0.857142857,0,0
142,12,10,1,0,1,0,0
143,10,13,2,0,1,0,0
144,3,11,1,5,0.166666667,1,1
144,13,7,1,7,0.125,0,0
145,14,2,2,6,0.25,0,0
145,8,11,1,0,1,0,1
145,3,9,5,1,0.833333333,0,0
147,15,4,3,1,0.75,0,0
147,6,15,4,1,0.8,0,0
147,4,9,4,0,1,0,1
148,6,4,1,4,0.2,0,0
148,4,11,3,1,0.75,0,0
148,11,8,2,2,0.5,0,1
150,13,3,3,0,1,0,0
150,7,4,10,0,1,0,0
150,4,9,2,0,1,0,1
151,7,14,8,2,0.8,0,1
152,3,11,6,3,0.666666667,1,1
152,13,7,3,0,1,0,0
153,10,3,1,0,1,0,0
153,3,9,3,6,0.333333333,0,0
154,15,1,2,0,1,0,1
155,10,3,3,4,0.428571429,0,0
155,3,9,1,0,1,0,0
155,11,8,2,0,1,0,1
157,8,4,1,1,0.5,0,0
157,3,10,1,0,1,0,0
157,13,9,1,0,1,0,1
158,12,5,1,0,1,1,0
158,8,14,2,0,1,0,0
159,1,11,2,5,0.285714286,0,1
160,8,4,2,2,0.5,0,0
160,13,6,1,3,0.25,0,0
161,5,12,1,0,1,1,0
162,7,1,3,3,0.5,1,0
162,14,8,1,4,0.2,0,0
163,11,4,2,3,0.4,0,0
163,5,15,1,4,0.2,0,0
164,6,11,4,1,0.8,0,0
164,5,10,4,1,0.8,0,1
165,12,8,5,3,0.625,0,0
166,15,5,4,4,0.5,0,0
166,7,4,2,0,1,0,0
166,3,12,4,5,0.444444444,0,0
168,12,3,6,0,1,0,0
168,9,11,1,0,1,0,0
168,5,10,2,1,0.666666667,0,1
170,14,1,9,1,0.9,0,0
170,3,11,3,2,0.6,1,1
170,10,11,1,1,0.5,0,0
171,3,7,4,1,0.8,0,0
172,13,4,1,5,0.166666667,0,0
172,10,14,8,1,0.888888889,1,1
173,10,5,3,6,0.333333333,0,1
173,3,13,1,0,1,0,0
173,14,7,4,2,0.666666667,0,1
174,3,9,1,0,1,0,0
175,6,14,1,4,0.2,0,1
175,14,6,5,3,0.625,0,1
176,3,7,5,3,0.625,0,0
177,12,2,7,1,0.875,0,1
177,3,13,1,7,0.125,0,0
177,10,11,3,3,0.5,0,0
178,12,9,4,4,0.5,0,1
179,3,15,7,0,1,0,1
179,10,12,2,0,1,0,0
180,12,10,1,6,0.142857143,0,0
181,9,4,5,4,0.555555556,0,1
181,5,11,6,1,0.857142857,0,0
182,15,8,1,0,1,0,1
183,7,4,1,1,0.5,0,0
183,5,13,1,0,1,0,0
184,15,5,5,0,1,0,0
184,5,7,1,0,1,1,1
185,7,4,1,7,0.125,0,0
185,11,10,2,3,0.4,0,0
186,4,10,2,4,0.333333333,1,0
187,14,1,1,4,0.2,0,0
187,8,1,2,0,1,0,1
187,4,12,3,3,0.5,0,1
189,13,4,1,3,0.25,0,0
189,1,13,4,2,0.666666667,0,0
189,8,14,1,0,1,0,0
190,12,7,4,0,1,0,0
190,1,7,2,4,0.333333333,1,0
191,9,13,1,7,0.125,0,1
192,15,2,2,4,0.333333333,0,0
192,4,14,4,3,0.571428571,1,0
193,7,12,7,1,0.875,0,0
194,15,3,1,0,1,0,1
194,7,2,5,3,0.625,0,0
194,4,11,6,2,0.75,0,0
196,14,4,1,8,0.111111111,1,0
196,9,13,2,2,0.5,0,1
196,3,7,5,1,0.833333333,0,0
197,9,4,1,3,0.25,0,1
197,3,13,3,3,0.5,0,0
198,15,6,6,0,1,0,0
199,12,4,5,1,0.833333333,0,1
199,10,2,1,1,0.5,0,0
199,5,11,3,5,0.375,0,0
200,10,14,1,1,0.5,1,1
201,5,12,2,1,0.666666667,1,0
201,14,10,4,2,0.666666667,1,1
202,6,14,5,0,1,0,1
202,5,10,2,1,0.666666667,0,1
203,15,10,9,1,0.9,0,0
204,13,1,2,8,0.2,0,0
204,3,14,1,3,0.25,0,0
204,9,14,4,2,0.666666667,0,0
206,7,4,8,0,1,0,0
206,15,9,1,0,1,0,0
206,4,10,1,1,0.5,1,0
207,4,14,1,1,0.5,1,0
208,8,5,2,2,0.5,0,0
208,15,6,4,5,0.444444444,0,0
209,4,13,4,4,0.5,0,0
209,8,11,4,0,1,0,1
210,12,8,3,3,0.5,0,0
211,15,5,3,3,0.5,0,0
211,3,11,6,2,0.75,1,1
211,10,12,4,0,1,0,0
212,10,2,1,3,0.25,0,0
212,3,8,7,1,0.875,1,1
213,14,9,6,1,0.857142857,0,0
214,9,13,5,2,0.714285714,0,1
214,2,9,2,1,0.666666667,0,1
215,12,5,10,0,1,1,0
215,9,1,7,0,1,0,0
216,3,12,1,3,0.25,0,0
216,15,10,3,7,0.3,0,0
217,9,12,1,3,0.25,0,1
217,3,10,3,1,0.75,0,0
218,15,4,2,5,0.285714286,0,0
219,7,4,4,4,0.5,0,0
219,4,10,1,8,0.111111111,1,0
220,4,12,7,2,0.777777778,0,1
220,7,13,3,5,0.375,0,0
220,11,8,10,0,1,0,1
221,13,5,5,5,0.5,0,0
222,9,5,2,3,0.4,1,0
222,5,11,3,6,0.333333333,0,0
223,9,14,5,0,1,0,0
223,12,8,1,6,0.142857143,0,0
224,14,3,6,1,0.857142857,0,0
224,2,14,2,8,0.2,0,0
225,6,4,1,1,0.5,0,0
226,2,11,1,0,1,0,0
226,6,15,2,0,1,0,0
226,14,7,2,8,0.2,0,1
228,10,5,3,0,1,0,1
228,5,8,1,0,1,0,0
228,15,6,4,0,1,0,0
229,13,5,4,0,1,0,0
230,8,12,1,0,1,0,0
230,1,7,3,0,1,1,0
231,1,13,2,1,0.666666667,0,0
231,12,10,2,8,0.2,0,0
232,13,4,8,2,0.8,0,0
232,7,14,4,5,0.444444444,0,1
233,4,9,2,0,1,0,1
234,13,3,1,0,1,0,0
234,9,1,4,0,1,0,0
235,15,6,1,0,1,0,0
235,2,7,2,1,0.666666667,0,0
236,7,12,7,0,1,0,0
237,13,5,1,8,0.111111111,0,0
237,7,5,4,3,0.571428571,1,1
237,1,9,4,6,0.4,0,0
238,1,14,2,8,0.2,0,0
239,13,4,6,1,0.857142857,0,0
239,6,4,1,0,1,0,0
240,1,10,8,2,0.8,1,0
241,14,3,1,4,0.2,0,0
241,9,11,2,1,0.666666667,0,0
242,9,1,3,0,1,0,0
242,5,14,4,3,0.571428571,0,1
243,5,8,6,1,0.857142857,0,0
243,11,7,1,2,0.333333333,0,0
244,14,3,2,1,0.666666667,0,0
244,10,5,1,0,1,0,1
245,3,10,4,5,0.444444444,0,0
246,6,14,5,2,0.714285714,0,1
246,11,10,6,0,1,0,0
247,15,4,2,4,0.333333333,0,0
247,6,2,4,3,0.571428571,0,0
247,1,10,1,1,0.5,1,0
248,1,15,1,1,0.5,0,1
249,14,3,1,3,0.25,0,0
249,7,2,1,5,0.166666667,0,0
250,11,8,1,3,0.25,0,1
250,2,6,4,0,1,0,0
251,6,4,1,1,0.5,0,0
252,13,9,1,6,0.142857143,0,1
252,2,10,5,2,0.714285714,0,0
253,2,11,3,4,0.428571429,0,0
253,8,14,5,1,0.833333333,0,0
254,12,6,2,5,0.285714286,0,0
255,13,5,4,3,0.571428571,0,0
255,5,12,1,1,0.5,1,0
255,8,11,3,7,0.3,0,1
256,5,8,2,0,1,0,0
257,7,15,1,0,1,0,0
257,11,8,1,3,0.25,0,1
258,2,7,5,3,0.625,0,0
259,14,5,1,0,1,0,1
259,7,2,4,3,0.571428571,0,0
260,5,13,1,0,1,0,0
260,7,11,4,3,0.571428571,0,0
260,14,10,1,0,1,1,1
262,8,15,10,0,1,0,1
262,12,8,3,3,0.5,0,0
262,5,9,2,1,0.666666667,1,0
263,11,1,4,2,0.666666667,0,1
263,8,3,3,7,0.3,1,1
264,1,12,6,4,0.6,1,0
265,11,5,6,0,1,0,0
265,6,11,1,1,0.5,0,0
266,2,9,4,6,0.4,0,1
267,13,2,1,2,0.333333333,1,1
267,10,5,8,2,0.8,0,1
268,1,13,4,1,0.8,0,0
268,12,7,2,1,0.666666667,0,0
269,6,15,7,0,1,0,0
270,11,5,4,3,0.571428571,0,0
270,6,2,7,0,1,0,0
270,1,6,1,2,0.333333333,0,0
271,1,12,3,0,1,1,0
272,7,13,3,0,1,0,0
272,11,9,1,4,0.2,0,0
273,7,2,3,0,1,0,0
273,3,12,1,1,0.5,0,0
274,13,10,1,0,1,0,0
274,3,7,2,0,1,0,0
275,13,3,1,0,1,0,0
275,6,15,10,0,1,0,0
276,5,11,2,1,0.666666667,0,0
277,8,11,1,2,0.333333333,0,1
277,12,6,2,6,0.25,0,0
277,5,7,3,0,1,1,1
278,8,4,1,2,0.333333333,0,0
279,15,6,1,0,1,0,0
279,5,8,1,0,1,0,0
280,5,13,1,0,1,0,0
280,10,12,1,0,1,0,0
281,15,6,1,8,0.111111111,0,0
282,15,4,7,2,0.777777778,0,0
282,8,11,5,0,1,0,1
282,4,7,2,5,0.285714286,0,0
283,4,14,7,0,1,1,0
284,14,4,2,1,0.666666667,1,0
284,6,4,2,3,0.4,0,0
285,6,11,4,1,0.8,0,0
285,12,8,2,1,0.666666667,0,0
285,4,8,1,1,0.5,0,0
287,9,11,4,0,1,0,0
287,11,7,1,5,0.166666667,0,0
287,3,6,4,4,0.5,0,0
289,9,2,8,1,0.888888889,0,1
289,3,13,7,0,1,0,0
289,12,7,2,3,0.4,0,0
290,11,5,3,2,0.6,0,0
290,3,8,3,4,0.428571429,1,1
291,6,4,2,1,0.666666667,0,0
292,3,15,6,1,0.857142857,0,1
292,12,7,2,0,1,0,0
293,11,4,1,1,0.5,0,0
293,7,14,2,6,0.25,0,1
294,1,9,6,0,1,0,0
295,14,2,5,0,1,0,0
295,1,15,5,1,0.833333333,0,1
295,7,13,3,6,0.333333333,0,0
296,7,5,3,6,0.333333333,1,1
297,1,11,1,2,0.333333333,0,1
297,14,9,1,0,1,0,0
298,14,4,1,0,1,1,0
298,7,1,9,1,0.9,1,0
299,5,15,1,2,0.333333333,0,0
300,6,15,1,1,0.5,0,0
300,14,6,1,0,1,0,1
300,5,9,1,2,0.333333333,1,0
302,6,2,1,5,0.166666667,0,0
302,1,12,7,1,0.875,1,0
302,13,6,5,3,0.625,0,0
303,6,12,5,1,0.833333333,0,0
303,1,7,7,1,0.875,1,0
304,11,8,3,1,0.75,0,1
305,9,5,1,4,0.2,1,0
305,4,13,1,3,0.25,0,0
306,11,10,1,0,1,0,0
306,4,8,2,2,0.5,0,0
307,6,15,1,0,1,0,0
308,6,1,1,0,1,0,0
308,3,14,1,0,1,0,0
308,11,10,3,4,0.428571429,0,0
310,7,12,1,3,0.25,0,0
310,11,7,1,0,1,0,0
310,4,8,1,6,0.142857143,0,0
311,4,12,3,4,0.428571429,0,1
312,13,1,8,2,0.8,0,0
312,6,4,1,1,0.5,0,0
313,6,14,2,0,1,0,1
313,4,6,2,5,0.285714286,0,0
314,14,2,3,0,1,0,0
315,9,1,1,0,1,0,0
315,1,15,2,8,0.2,0,1
316,11,4,1,1,0.5,0,0
316,9,11,1,0,1,0,0
316,1,6,7,3,0.7,0,0
318,9,5,2,7,0.222222222,1,0
318,4,7,7,1,0.875,0,0
318,13,9,3,7,0.3,0,1
319,15,3,4,6,0.4,0,1
319,4,11,7,1,0.875,0,0
320,7,14,2,3,0.4,0,1
321,13,1,1,0,1,0,0
321,3,15,1,0,1,0,1
322,6,11,1,3,0.25,0,0
323,14,3,3,4,0.428571429,0,0
323,1,14,1,0,1,0,0
324,10,3,4,0,1,0,0
324,1,10,1,0,1,1,0
324,11,6,4,3,0.571428571,0,0
325,10,13,2,2,0.5,0,0
326,3,6,1,2,0.333333333,0,0
326,14,10,1,4,0.2,1,1
327,9,14,1,4,0.2,0,0
328,12,1,1,1,0.5,1,0
328,9,4,3,2,0.6,0,1
328,2,13,2,3,0.4,1,1
329,2,8,4,1,0.8,1,0
329,13,10,2,0,1,0,0
330,8,1,6,3,0.666666667,0,1
331,14,1,7,2,0.777777778,0,0
331,1,12,6,3,0.666666667,1,0
331,8,15,1,8,0.111111111,0,1
332,12,10,1,8,0.111111111,0,0
333,2,12,6,0,1,0,1
333,6,14,1,0,1,0,1
334,11,4,4,5,0.444444444,0,0
334,2,10,5,1,0.833333333,0,0
335,6,13,9,1,0.9,0,0
336,11,4,2,5,0.285714286,0,0
336,2,11,4,2,0.666666667,0,0
337,6,11,8,0,1,0,0
338,3,11,1,0,1,1,1
338,11,7,2,2,0.5,0,0
339,8,14,2,5,0.285714286,0,0
339,3,9,1,0,1,0,0
340,12,4,3,3,0.5,0,1
340,8,4,4,3,0.571428571,0,0
341,5,9,1,5,0.166666667,1,0
342,6,3,4,1,0.8,0,0
342,13,6,1,1,0.5,0,0
343,5,15,5,2,0.714285714,0,0
344,9,5,8,2,0.8,1,0
344,13,10,4,0,1,0,0
345,1,14,5,4,0.555555556,0,0
346,10,3,3,1,0.75,0,0
346,15,7,6,4,0.6,0,0
347,1,15,2,2,0.5,0,1
347,10,14,1,3,0.25,1,1
348,14,4,2,0,1,1,0
349,2,11,2,0,1,0,0
349,7,12,1,2,0.333333333,0,0
350,2,10,2,0,1,0,0
350,14,9,4,1,0.8,0,0
351,10,2,2,7,0.222222222,0,0
352,11,3,1,0,1,1,1
352,4,8,3,2,0.6,0,0
353,8,5,4,2,0.666666667,0,0
353,4,13,5,0,1,0,0
353,14,9,1,0,1,0,0
355,9,5,2,3,0.4,1,0
355,2,9,5,0,1,0,1
355,11,10,2,3,0.4,0,0
356,14,4,5,0,1,1,0
356,2,13,1,4,0.2,1,1
357,9,11,5,1,0.833333333,0,0
358,11,5,4,0,1,0,0
358,4,15,7,2,0.777777778,0,0
359,7,1,9,0,1,1,0
359,13,6,2,2,0.5,0,0
360,4,14,1,7,0.125,1,0
361,12,5,3,0,1,1,0
361,8,14,5,5,0.5,0,0
361,4,6,6,2,0.75,0,0
362,8,5,1,9,0.1,0,0
363,11,2,1,3,0.25,0,0
363,2,13,1,1,0.5,1,1
364,7,2,4,2,0.666666667,0,0
364,2,8,2,0,1,1,0
365,11,9,4,0,1,0,0
366,15,4,1,3,0.25,0,0
366,4,15,1,1,0.5,0,0
366,8,14,10,0,1,0,0
367,4,6,1,1,0.5,0,0
368,13,4,5,0,1,0,0
368,10,12,8,2,0.8,0,0
369,10,5,8,2,0.8,0,1
369,5,15,5,4,0.555555556,0,0
369,11,6,1,4,0.2,0,0
371,13,3,4,2,0.666666667,0,0
371,10,3,6,4,0.6,0,0
371,4,13,5,1,0.833333333,0,0
372,10,14,6,4,0.6,1,1
372,4,9,5,1,0.833333333,0,1
372,13,6,3,3,0.5,0,0
374,11,1,3,7,0.3,0,1
374,9,13,3,5,0.375,0,1
374,1,10,4,0,1,1,0
375,11,6,3,7,0.3,0,0
376,7,3,1,3,0.25,0,0
376,1,14,5,3,0.625,0,0
377,14,5,1,0,1,0,1
377,7,15,1,3,0.25,0,0
378,3,7,5,1,0.833333333,0,0
379,15,3,3,0,1,0,1
379,8,4,4,3,0.571428571,0,0
379,3,15,2,4,0.333333333,0,1
380,15,7,2,1,0.666666667,0,0
381,8,4,2,1,0.666666667,0,0
381,3,6,7,1,0.875,0,0
382,8,14,2,1,0.666666667,0,0
382,12,9,6,4,0.6,0,1
383,2,13,1,8,0.111111111,1,1
384,10,11,3,0,1,0,0
384,2,9,7,2,0.777777778,0,1
384,12,9,4,5,0.444444444,0,1
386,12,4,2,5,0.285714286,0,1
386,7,12,4,0,1,0,0
386,1,6,4,1,0.8,0,0
387,7,4,4,0,1,0,0
387,1,11,4,1,0.8,0,1
388,12,6,5,2,0.714285714,0,0
389,1,11,2,3,0.4,0,1
389,10,15,6,3,0.666666667,0,0
390,12,4,1,4,0.2,0,1
391,7,4,4,3,0.571428571,0,0
391,5,10,4,6,0.4,0,1
391,12,10,3,2,0.6,0,0
392,5,12,7,3,0.7,1,0
392,7,15,4,3,0.571428571,0,0
393,11,4,6,4,0.6,0,0
394,9,3,7,2,0.777777778,0,0
394,3,12,1,0,1,0,0
395,3,9,1,0,1,0,0
395,14,8,1,0,1,0,0
396,7,12,2,0,1,0,0
397,11,2,2,4,0.333333333,0,0
397,2,9,3,1,0.75,0,1
398,10,2,1,0,1,0,0
398,2,13,1,3,0.25,1,1
398,14,7,1,5,0.166666667,0,1
399,10,13,1,0,1,0,0
400,4,6,1,0,1,0,0
400,12,8,1,2,0.333333333,0,0
401,15,2,2,1,0.666666667,0,0
401,9,15,4,2,0.666666667,0,0
402,2,9,7,1,0.875,0,1
403,9,5,3,4,0.428571429,1,0
403,2,13,2,6,0.25,1,1
403,13,10,1,1,0.5,0,0
404,9,15,1,6,0.142857143,0,0
405,1,10,2,8,0.2,1,0
405,15,10,2,1,0.666666667,0,0
406,10,1,4,3,0.571428571,1,0
407,13,2,2,0,1,1,1
407,2,10,4,4,0.5,0,0
408,8,4,1,5,0.166666667,0,0
408,2,15,7,1,0.875,0,0
409,11,1,4,5,0.444444444,0,1
410,9,11,4,0,1,0,0
410,5,9,1,0,1,1,0
411,12,5,2,2,0.5,1,0
411,9,1,4,0,1,0,0
411,5,15,1,0,1,0,0
413,15,2,6,0,1,0,0
413,1,15,3,0,1,0,1
413,6,14,1,0,1,0,1
414,6,5,1,0,1,1,1
415,13,2,4,3,0.571428571,1,1
415,1,9,5,5,0.5,0,0
416,6,5,1,1,0.5,1,1
417,13,5,1,1,0.5,0,0
417,3,12,5,4,0.555555556,0,0
418,8,12,4,3,0.571428571,0,0
419,13,4,6,0,1,0,0
419,4,7,1,0,1,0,0
420,7,14,3,1,0.75,0,1
420,14,8,4,2,0.666666667,0,0
421,7,2,3,1,0.75,0,0
421,2,8,5,0,1,1,0
422,12,9,1,5,0.166666667,0,1
423,10,1,1,1,0.5,1,0
423,1,11,1,2,0.333333333,0,1
424,11,4,2,2,0.5,0,0
424,10,15,2,0,1,0,0
425,4,12,3,1,0.75,0,1
425,11,7,1,3,0.25,0,0
426,6,3,1,0,1,0,0
426,4,9,1,3,0.25,0,1
427,6,12,1,0,1,0,0
427,12,10,1,2,0.333333333,0,0
428,13,2,2,1,0.666666667,1,1
428,1,10,1,4,0.2,1,0
429,7,2,1,2,0.333333333,0,0
429,1,13,1,4,0.2,0,0
430,15,6,1,0,1,0,0
431,6,4,6,4,0.6,0,0
431,4,13,3,0,1,0,0
432,14,4,4,4,0.5,1,0
432,4,7,2,1,0.666666667,0,0
433,9,3,1,0,1,0,0
433,13,9,7,1,0.875,0,1
434,9,13,1,0,1,0,1
434,1,7,5,0,1,1,0
435,11,5,2,4,0.333333333,0,0
436,6,15,1,1,0.5,0,0
436,5,6,7,1,0.875,1,1
436,13,10,1,5,0.166666667,0,0
438,6,2,6,4,0.6,0,0
438,1,11,2,0,1,0,1
438,12,10,3,2,0.6,0,0
440,6,2,1,0,1,0,0
